,y_test,prediction
4931,1426.1436,2680.1159235247756
4148,1201.769,2519.8403757234732
7423,1836.2764,2258.1899817364006
4836,2410.8618,2299.3637902476135
944,1549.9824,3068.1551808054833
154,3169.208,3595.801638190814
7230,2036.6822,2959.4763095667627
3472,824.9262,1978.3118142232358
2294,378.1744,1430.5414583921074
2588,1573.9512,1784.9982438458283
2087,2474.7786,1869.974488008417
7318,101.8674,270.0128107251386
6126,894.8352,1611.0418399913663
4164,1491.392,2397.8197343582024
6572,1390.1904,2031.8886430374637
693,1707.777,1449.7491067858296
1270,1853.5872,2476.530575911532
5893,2404.8696,2808.606891931847
1624,5528.1374,3847.3907730416668
5223,12117.56,5357.532843491721
2972,4767.128,3602.8177274211143
6814,185.7582,1834.5060298536146
1555,187.0898,1214.097063425125
8275,772.328,1547.5399416473879
3760,1324.2762,2113.912097539319
3161,2036.6822,1573.9512775449173
5225,6574.775,5549.44515855747
1570,5285.1204,4099.988058460218
4285,773.6596,863.772958076542
1835,6615.3888,3823.644063256953
4266,1022.6688,1438.9514445025804
2740,2797.6916,4075.1869398557064
4312,3099.9648,2682.9598981589183
2379,1720.4272,3353.5005948246935
821,3338.3212,2333.581460395918
5862,1061.951,1451.501075711637
5108,4567.388,4037.662617862822
7149,6474.2392,5376.93520717526
2060,1145.176,1900.1273978446322
1571,2804.3496,1719.9503523181497
3879,945.436,1265.9195611399161
1889,1255.033,2290.1559826503753
528,5206.556,3703.562591214435
7060,5842.395,3778.727573705228
5845,3379.6008,2979.6709683708
5860,477.3786,697.6045939306705
4861,113.8518,-201.51256728909993
1824,992.042,1301.7641067934558
1098,5259.82,4153.350667918564
5530,1704.448,1530.16983214843
1921,117.8466,95.38718969776801
8517,3608.636,2839.210278575665
4908,729.051,597.1064374626253
2006,2422.1804,2407.415877649345
98,4363.6532,3789.7979530872885
7140,753.0198,737.3623462648029
1003,713.0718,508.9956517814789
3162,683.1108,617.2711230710829
4376,195.7452,-196.59373289350947
3930,3159.8868,3602.759497786057
5973,1348.245,1457.8651105518493
4276,1803.6522,1255.4239997417637
6789,5932.278,2567.2262941352355
8116,71.9064,-969.0961539692628
2030,2270.378,1703.1162984961766
3484,303.6048,534.238022299377
233,2603.278,2403.208330769087
4511,5773.1518,3167.083008503701
852,2691.8294,3250.1582080014264
1364,476.047,473.3090406517168
257,193.082,1632.6478901823166
5809,2460.7968,1621.39225760159
3810,121.8414,110.53938153572471
379,4274.436,3400.884937102909
7273,412.796,-125.76053007845144
6787,4625.9784,4066.3848390425896
2645,3006.087,2220.589132067903
1589,4950.8888,3557.6531216747335
5198,529.311,2411.986684539689
3909,2184.4898,2089.190090511131
8236,510.0028,2125.2258340016792
888,2620.5888,2507.672369214887
5175,981.3892,698.3506941794817
1580,319.584,594.3559025541858
4109,2297.01,2448.671690467444
4238,1018.674,611.2044397296718
140,1402.1748,2411.437050533626
6770,3942.8676,3028.1002850796744
4098,1182.4608,3169.3517773766375
4394,937.4464,3618.637751116272
543,1398.18,2149.265386858332
3412,1168.479,917.7420851524448
3043,1569.9564,1405.2212279495222
6696,6474.2392,5389.597697108342
6565,296.9468,548.2832519872136
2563,2127.8968,3400.99487544654
4824,5683.2688,4054.568804621086
6335,2616.594,2990.8269591607327
6164,4866.998,2310.673732370192
6095,316.9208,596.7387585218544
4972,355.5372,1500.3440093641568
3535,2994.7684,3350.7871377489
7490,607.2096,564.8175328277946
49,780.3176,1266.074687240763
7475,1685.8056,2399.706423281568
380,5375.0034,5189.243970637819
7192,1267.0174,1807.7546082094777
4773,3131.9232,3097.402075099853
4088,1629.8784,1340.0472206840707
2849,6196.6006,3883.446663312769
6750,3094.6384,3453.336189229982
2488,3142.576,3161.7219443480853
3812,2972.1312,2564.068749625511
916,895.501,971.8069292282862
2539,5259.82,3276.3705727093297
541,231.6984,1245.3952225461037
7275,2922.1962,2013.6637692525178
6192,922.7988,2527.88973202276
5373,3819.0288,2613.9037902567193
1657,75.9012,340.5615214016261
273,5829.7448,4170.9179780043605
7086,392.822,1257.6893011610182
2337,61.2536,-728.4543363694092
2607,3542.056,3037.565292956176
3299,5396.9748,4122.506809155293
2631,1510.0344,4079.579895286014
3776,4349.0056,3139.470897777934
4153,225.7062,1702.243193299677
4557,2162.5184,1142.6432827783012
5378,1065.28,3386.6218353254635
6000,7393.0432,4999.73908501917
7564,802.9548,859.6016554430134
1035,2190.482,2480.968816642269
8440,2960.1468,2441.6629852924916
6539,3281.0624,3807.566838963215
3434,3778.415,2515.500235334031
5233,3751.783,1695.3217534566281
4061,428.7752,-117.6039381187984
44,373.5138,2042.0538412493943
5022,120.5098,51.47615120599744
5085,2916.204,3888.676033493853
3007,3439.5228,2782.4780562711485
7336,1830.95,2329.083053059449
2434,2006.7212,1489.4403866636342
2580,3629.2758,2577.6701700382837
4559,351.5424,952.5479790860923
5615,2375.5744,2340.51207034524
7019,2466.789,2234.360929453581
4574,2303.668,1849.0786317035029
4589,1543.3244,2171.973941611838
7801,2432.8332,2621.1093206968776
8255,2696.49,1610.3604220906366
