,y_test,prediction
4931,1426.1436,2679.4648114987385
4148,1201.769,2523.1835614987385
7423,1836.2764,2259.0898114987385
4836,2410.8618,2299.4648114987385
944,1549.9824,3069.6835614987385
154,3169.208,3594.9648114987385
7230,2036.6822,2957.9335614987385
3472,824.9262,1976.7148114987385
2294,378.1744,1434.0585614987385
2588,1573.9512,1786.6835614987385
2087,2474.7786,1870.2148114987385
7318,101.8674,269.0898114987385
6126,894.8352,1612.2148114987385
4164,1491.392,2398.8398114987385
6572,1390.1904,2032.9648114987385
693,1707.777,1450.4648114987385
1270,1853.5872,2476.3398114987385
5893,2404.8696,2809.2148114987385
1624,5528.1374,3843.9648114987385
5223,12117.56,5358.9335614987385
2972,4767.128,3596.6835614987385
6814,185.7582,1845.0585614987385
1555,187.0898,1216.3085614987385
8275,772.328,1547.5898114987385
3760,1324.2762,2117.1835614987385
3161,2036.6822,1571.1835614987385
5225,6574.775,5550.1835614987385
1570,5285.1204,4102.1835614987385
4285,773.6596,862.6835614987385
1835,6615.3888,3824.3398114987385
4266,1022.6688,1437.7148114987385
2740,2797.6916,4075.5898114987385
4312,3099.9648,2683.0898114987385
2379,1720.4272,3351.4648114987385
821,3338.3212,2332.4648114987385
5862,1061.951,1450.8085614987385
5108,4567.388,4038.1835614987385
7149,6474.2392,5380.1835614987385
2060,1145.176,1901.1835614987385
1571,2804.3496,1719.0898114987385
3879,945.436,1265.9648114987385
1889,1255.033,2291.9335614987385
528,5206.556,3701.7148114987385
7060,5842.395,3779.7148114987385
5845,3379.6008,2981.3398114987385
5860,477.3786,700.0585614987385
4861,113.8518,-203.69143850126147
1824,992.042,1302.8085614987385
1098,5259.82,4152.9648114987385
5530,1704.448,1531.3398114987385
1921,117.8466,93.80856149873853
8517,3608.636,2837.8398114987385
4908,729.051,598.4648114987385
2006,2422.1804,2406.9648114987385
98,4363.6532,3791.6835614987385
7140,753.0198,736.2148114987385
1003,713.0718,507.0898114987385
3162,683.1108,617.8398114987385
4376,195.7452,-194.94143850126147
3930,3159.8868,3602.9648114987385
5973,1348.245,1457.6835614987385
4276,1803.6522,1253.1835614987385
6789,5932.278,2566.6835614987385
8116,71.9064,-966.9414385012615
2030,2270.378,1701.9648114987385
3484,303.6048,535.5585614987385
233,2603.278,2401.4648114987385
4511,5773.1518,3168.2148114987385
852,2691.8294,3248.7148114987385
1364,476.047,470.6835614987385
257,193.082,1630.9648114987385
5809,2460.7968,1620.6835614987385
3810,121.8414,111.80856149873853
379,4274.436,3400.2148114987385
7273,412.796,-124.94143850126147
6787,4625.9784,4066.9648114987385
2645,3006.087,2219.3398114987385
1589,4950.8888,3557.9648114987385
5198,529.311,2411.2148114987385
3909,2184.4898,2089.4648114987385
8236,510.0028,2126.0585614987385
888,2620.5888,2505.8398114987385
5175,981.3892,699.9648114987385
1580,319.584,592.3398114987385
4109,2297.01,2451.5898114987385
4238,1018.674,611.4648114987385
140,1402.1748,2411.0898114987385
6770,3942.8676,3028.9648114987385
4098,1182.4608,3170.2148114987385
4394,937.4464,3620.8398114987385
543,1398.18,2148.7148114987385
3412,1168.479,914.7148114987385
3043,1569.9564,1405.7148114987385
6696,6474.2392,5391.9335614987385
6565,296.9468,547.5585614987385
2563,2127.8968,3400.1835614987385
4824,5683.2688,4054.4648114987385
6335,2616.594,2990.2148114987385
6164,4866.998,2310.0898114987385
6095,316.9208,595.5585614987385
4972,355.5372,1498.4648114987385
3535,2994.7684,3352.7148114987385
7490,607.2096,567.1835614987385
49,780.3176,1264.0585614987385
7475,1685.8056,2400.2148114987385
380,5375.0034,5190.6835614987385
7192,1267.0174,1811.0898114987385
4773,3131.9232,3097.9648114987385
4088,1629.8784,1338.5898114987385
2849,6196.6006,3883.9335614987385
6750,3094.6384,3454.7148114987385
2488,3142.576,3160.2148114987385
3812,2972.1312,2565.3398114987385
916,895.501,970.5585614987385
2539,5259.82,3275.2148114987385
541,231.6984,1244.2148114987385
7275,2922.1962,2012.1835614987385
6192,922.7988,2526.4648114987385
5373,3819.0288,2614.9648114987385
1657,75.9012,340.4648114987385
273,5829.7448,4171.7148114987385
7086,392.822,1260.0585614987385
2337,61.2536,-727.9414385012615
2607,3542.056,3036.4648114987385
3299,5396.9748,4121.4648114987385
2631,1510.0344,4081.1835614987385
3776,4349.0056,3141.6835614987385
4153,225.7062,1703.0585614987385
4557,2162.5184,1140.1835614987385
5378,1065.28,3388.8398114987385
6000,7393.0432,5000.6835614987385
7564,802.9548,859.7148114987385
1035,2190.482,2481.2148114987385
8440,2960.1468,2442.9648114987385
6539,3281.0624,3809.4335614987385
3434,3778.415,2515.5898114987385
5233,3751.783,1695.3398114987385
4061,428.7752,-116.94143850126147
44,373.5138,2041.4648114987385
5022,120.5098,51.05856149873853
5085,2916.204,3889.6835614987385
3007,3439.5228,2784.9335614987385
7336,1830.95,2328.7148114987385
2434,2006.7212,1487.9648114987385
2580,3629.2758,2577.2148114987385
4559,351.5424,953.8085614987385
5615,2375.5744,2340.3398114987385
