,y_test,prediction
4931,1426.1436,2184.4274204820103
4148,1201.769,991.9480171104703
7423,1836.2764,2081.7795826325364
4836,2410.8618,2153.559478989919
944,1549.9824,3052.3000579706872
154,3169.208,3909.2139921724615
7230,2036.6822,1555.3047954405547
3472,824.9262,1862.1171443948529
2294,378.1744,2717.451101254365
2588,1573.9512,1859.7764365012565
2087,2474.7786,2016.8371256809055
7318,101.8674,643.1856841663572
6126,894.8352,1663.7810739757056
4164,1491.392,2129.654206976041
6572,1390.1904,1978.939931491713
693,1707.777,1197.0372910751546
1270,1853.5872,2006.251558922779
5893,2404.8696,2817.9441912023253
1624,5528.1374,3922.5286565601155
5223,12117.56,3915.191026851717
2972,4767.128,3917.81834669638
6814,185.7582,2867.6671634286276
1555,187.0898,2831.237126612454
8275,772.328,1575.0017053296624
3760,1324.2762,2095.6426551490163
3161,2036.6822,1735.7308368756806
5225,6574.775,3915.191026851717
1570,5285.1204,3923.6190757242084
4285,773.6596,882.6707716938452
1835,6615.3888,3923.6190757242084
4266,1022.6688,1180.5002079460003
2740,2797.6916,3923.6190757242084
4312,3099.9648,2727.976728481793
2379,1720.4272,2933.9206787148355
821,3338.3212,1927.894481443142
5862,1061.951,2988.6338594077574
5108,4567.388,2669.3076971081446
7149,6474.2392,3915.191026851717
2060,1145.176,1951.9863227003923
1571,2804.3496,1719.7564360561396
3879,945.436,1564.8120533048384
1889,1255.033,640.5374507292245
528,5206.556,3925.587085142744
7060,5842.395,3923.6190757242084
5845,3379.6008,2791.9614578488718
5860,477.3786,2050.302352128174
4861,113.8518,1656.5061921810736
1824,992.042,2802.990786902107
1098,5259.82,3923.6190757242084
5530,1704.448,1590.9874842450777
1921,117.8466,1739.4020727593847
8517,3608.636,2692.473872244658
4908,729.051,643.1856841663572
2006,2422.1804,1990.1326851038716
98,4363.6532,2197.2185352802576
7140,753.0198,948.4882224915626
1003,713.0718,643.1856841663572
3162,683.1108,640.5374507292245
4376,195.7452,1549.1358013758945
3930,3159.8868,3911.5776310049864
5973,1348.245,1481.2333736119765
4276,1803.6522,1224.6430181678159
6789,5932.278,2681.9872923427356
8116,71.9064,628.9821650791539
2030,2270.378,1635.2304916137346
3484,303.6048,1839.4049394779245
233,2603.278,2112.9117717121894
4511,5773.1518,2992.1027451529035
852,2691.8294,3092.2521715804482
1364,476.047,640.5374507292245
257,193.082,1694.3335255377156
5809,2460.7968,1694.3335255377156
3810,121.8414,1894.55611962241
